,seeds1,seeds2,moves,player1,player2
35423,31,6,5522441324115142252332244314644235231425166415164112324123445,3006,1952
35471,25,8,55224213332213241615542343546522312445565113426,3006,1952
35616,25,20,5521413541511415235544552665262131124454653634451354361224551344255641613223344516516,246,1952
35745,26,11,5513554153343235445533415416443143255662,3320,1952
36058,25,11,544642625433643645665362445533446551665145214534425116621125243335,246,1952
36195,22,26,54454335142445133445222544153363161126563124632412143325564452233455366645643322445331614253651611223443546516,2791,1952
36330,16,26,5436336422422436431354436234235564536145613342516511242532152445533544556665544334524354651326,2572,1952
36352,10,27,543633252334551334552225341545344221126344251665512234,4997,1952
36607,26,18,5436212541552433342621522431123144223466325241645166112234435246546221324351661422314354656624351324423443516516,4953,1952
36669,26,11,543533551455322155243563511422421544251354364534254613344516663541224435435344262516325341221455433445265122132435465112233445566,625,1952
36693,27,10,54335425521255345565542536654225341344262166351641613223441536612233441526613213243546615,5958,1952
36779,27,2,543253241552335165342655364534126,5958,1952
36912,28,10,542623435624345344554356344551255346224436124516135335245243355441526556341522543544526622152133,246,1952
37142,27,2,542611131654265214445325245243513553455164516622,1182,1952
37143,4,25,542611131452241354255445542233223341526332555341533542531663514513341655,1952,1182
37242,26,11,542254335411541324443351445562536441523443546664534253641221334254661122334455,5836,1952
37274,26,3,5422541113541234532452653153443156546522,5958,1952
37284,28,0,54225111413224315143665436256,2257,1952
37368,27,3,541622135144531126142243546653423262542132614161556633,3882,1952
37409,26,14,5416126133446652224161344351161422334465,246,1952
37461,25,19,541612134251335241522613252116133162433251614352643142235136351445324363265143251435224534534554664513513445225445533544563516644155122455624133524453662514322344315243546615,3882,1952
37589,25,17,536533644221633526534455325623443561445115314253661436416513223143615165161225342341523445,5984,1952
37616,28,9,536336221332613324566246643351445266122133445265,246,1952
37657,18,25,53614642413146114213156614115531615241615261256253262514451651122363514452315445126,3531,1952
37662,25,15,5361263544423451642142533445465243345561451125534531522132462514331614254651322334455666,246,1952
37728,31,3,5346415335364446553235442655243543551615243552415366,3531,1952
37831,30,0,534552435514153453425321155634123553445165,5984,1952
37875,3,37,5342533655564152335435665132416355246653442536621,4571,1952
38049,15,25,53363563122663511355123466133422633446533245134134452262334152663413445123443254435465234132445,7815,1952
38335,27,16,5336242116521423423144512332631253256442655133251435216152433455466,3549,1952
38466,8,28,533253215322335651223354663564352233125665164,7541,1952
38482,28,13,5332454254435534554121513542531162554455366,7815,1952
38493,13,26,5332452421114655466112236615141526315,7683,1952
38543,25,8,5326454212254353335243556422562253624232413244164314453243244132431614251666354124453243512614,1567,1952
38601,11,28,5326246413614453346153445243552445331435264353312415423423443546512213354425365122334415265112233455466,1952,3531
38834,9,25,5326111513225514552354152651221324665514236536351435465322331425365223142531524,4213,1952
38851,28,20,532552324253211156452243665364635542532445563661251425462315223345,5984,1952
38883,27,6,5324555652123455653455632635143165543526411235615,7893,1952
38922,26,16,5322531153123223514332534152645263413442526552441523341124336141615165142662263445233445,4213,1952
39091,10,27,53161162112141615161321133354136125331216153342316321425335415266435132154356146,1952,3531
39117,25,10,531552355221553653122152341566526546655324312436,5984,1952
39126,27,0,5314555652212242531455466,1952,2512
39362,30,5,5246425425221651152442546556241522613655644155661122154613,1154,1952
39687,12,28,52425124115143425314265243145511614223415261355246132645364416351651425325146,7742,1952
