,seeds1,seeds2,moves,player1,player2
17019,12,25,642264361513362136241533142246625566233425,6489,5714
17020,26,4,64226436151336156444224624133641132243353644156544334456211252263536226143242115,5714,246
17022,12,25,64226436151324161113614115136611564334653235264514255345623342546145334256,7919,5714
17023,13,26,64226436151324161113411366211415234416121423615644561533455415314261526126,8345,5714
17024,16,25,642264361513161546651234224336211446221423564456153154124154234233665411332233614521325316,5127,5714
17103,26,18,64226415162112613116151614614566142156445523241611521131514452252451423553455415665161423344153661514223341526511262415233442516613224331544261536516,246,5714
17126,21,27,642256253452231561345225464351322664,1580,5714
17127,26,9,6422562534522315523132161524356143516215,5714,1580
17129,10,27,642256251324655662241523465265366551334455,4728,5714
17130,7,26,64225625131466366251251611513314161253243146,1580,5714
17142,15,26,64225615436541122152455335412253314265516465534556416124522142316151435216132526,4305,5714
17146,14,26,642256154312455662211526133661512426425625,7907,5714
17147,14,28,642256154312455613312464526316,5172,5714
17149,12,26,642256154312451463526334524326613623524526623152435425,7919,5714
17150,12,25,642256154312451421653621531426,8345,5714
17151,28,20,642256154312451421142243355436514354151234455321524433554455664516615122431425613156116,8345,5714
17161,12,25,6422561533663514452443354453616451433632534152661221324523,4305,5714
17165,9,25,642256153312361441233141546536314412,5495,5714
17183,14,26,6422561513652132164634621523642536,5172,5714
17185,25,10,6422561513456126112243561434255326,5714,7907
17187,17,26,64225615132416151651662551312316153225335146641335214154324453662332415215132416,1580,5714
17192,15,25,642256151316154412532116315645163315461265516126651432145161422543,5495,5714
17285,19,26,64224632613223466132141145133544524431256115516445635532455426,8278,5714
17293,14,25,6422463243314433442543554251251155422413142655142354461516665143522554433354456211233253614256132546,4305,5714
17321,22,26,642246131544211351136146425334661145124334514225,6392,5714
17340,14,25,642236314322311161452245613634135126215315126241526335,8278,5714
17344,5,26,6422362215146233164316126516141335445614433145542612245134552326,5172,5714
17354,7,26,64221614252661123116151445262315461435412452611225,1580,5714
17847,13,26,641164516446424651224161516431645264436556,4728,5714
17848,25,4,64116451642625131615643312161346335243516625,5714,2791
17851,29,4,64116451463226633116645141536512,5714,1951
17854,9,25,641164464312411234661351214216231563253365464235432135164256433455,1568,5714
17855,3,25,64116446431224423653443145621453,5127,5714
17866,25,9,6411642623541163322664561554436122315362415635,5714,5127
17870,26,8,6411642613344421145641542336446151661124334452416136445113223443546551621315,5714,1765
17871,0,25,6411642521122534131141133252311322335163466213213435,5127,5714
17872,5,25,641164252112153162112235522514365445615263,5127,5714
17876,10,26,6411642161454423143114464513415253261223314352664354215334526145,5127,5714
17901,9,25,64115653662513366554634226,5127,5714
17902,9,26,64115653662513244665145523321436,2025,5714
17904,18,26,641156531541551435416421453461514552532451435432551651455436551345542266,5127,5714
17921,7,25,6411564566233226,6573,5714
17929,10,38,64115615231635526644,2402,5714
18957,25,7,6336222353111243355614256233425,5714,6401
19216,31,9,63346611433445413321153322553356551614421431256,5714,4840
19402,2,25,6332422635116311216141556621446523443151426,541,5714
19586,26,22,6331463532526621541141236332566,5714,2791
19605,25,12,63314632244635144516233214455,5714,706
23840,25,5,62265315326213152423651435263166462436455,5714,5172
23843,12,26,62265224562312326316546526145165362151324,7919,5714
23844,12,30,622652245124341133161464226651345523513216152453623112234,7919,5714
23846,26,14,62265223426651316321344133221344123522514336251152345645536,5714,541
23847,32,16,62265113453112342623252415266635416,5714,3526
24021,25,15,62256442324612314662236614355,5714,1894
